"","yearID","teamID","name","AB","H","2B","3B","HR","R","SB","BA","OBP","OPS","SLG","wOBA"
"1",2001,"ANA","Anaheim Angels",5551,1447,275,26,158,691,116,0.2607,0.3268,0.7318,0.405,0.319978137651822
"2",2001,"BAL","Baltimore Orioles",5472,1359,262,24,136,687,133,0.2484,0.319,0.6986,0.3796,0.307892015706806
"3",2001,"BOS","Boston Red Sox",5605,1493,316,29,198,772,46,0.2664,0.334,0.7731,0.4391,0.335185535599743
"4",2001,"CHA","Chicago White Sox",5464,1463,300,29,214,798,123,0.2678,0.3343,0.7851,0.4508,0.338796287169377
"5",2001,"CLE","Cleveland Indians",5600,1559,294,37,212,897,79,0.2784,0.3496,0.8072,0.4577,0.348932466708941
"6",2001,"DET","Detroit Tigers",5537,1439,291,60,139,724,133,0.2599,0.3205,0.7299,0.4094,0.317514337211208
"7",2001,"KCA","Kansas City Royals",5643,1503,277,37,152,729,100,0.2663,0.3181,0.7274,0.4094,0.316115635179153
"8",2001,"MIN","Minnesota Twins",5560,1514,328,38,164,771,146,0.2723,0.3367,0.7701,0.4335,0.33456910833198
"9",2001,"NYA","New York Yankees",5577,1488,289,20,203,804,161,0.2668,0.3339,0.7689,0.435,0.333790746413026
"10",2001,"OAK","Oakland Athletics",5573,1469,334,22,199,884,68,0.2636,0.3454,0.784,0.4385,0.341095911949686
"11",2001,"SEA","Seattle Mariners",5680,1637,310,38,169,927,174,0.2882,0.3599,0.8054,0.4454,0.350208216619981
"12",2001,"TBA","Tampa Bay Devil Rays",5524,1426,311,21,121,672,115,0.2581,0.3195,0.7073,0.3878,0.31069846509325
"13",2001,"TEX","Texas Rangers",5685,1566,326,23,246,890,97,0.2755,0.344,0.8147,0.4707,0.350528209963854
"14",2001,"TOR","Toronto Blue Jays",5663,1489,287,36,195,767,156,0.2629,0.3253,0.7549,0.4296,0.32728624
"15",2001,"ARI","Arizona Diamondbacks",5595,1494,284,35,208,818,71,0.267,0.3407,0.7825,0.4418,0.339821035856574
"16",2001,"ATL","Atlanta Braves",5498,1432,263,24,174,729,85,0.2605,0.3236,0.7356,0.412,0.320353482260184
"17",2001,"CHN","Chicago Cubs",5406,1409,268,32,194,777,67,0.2606,0.3363,0.766,0.4297,0.33325254015077
"18",2001,"CIN","Cincinnati Reds",5583,1464,304,22,176,735,103,0.2622,0.3244,0.7435,0.4191,0.323449155295647
"19",2001,"COL","Colorado Rockies",5690,1663,324,61,213,923,132,0.2923,0.3541,0.837,0.483,0.359459283903676
"20",2001,"FLO","Florida Marlins",5542,1461,325,30,166,742,89,0.2636,0.3263,0.7492,0.423,0.325483834095362
"21",2001,"HOU","Houston Astros",5528,1500,313,29,208,847,64,0.2713,0.347,0.7983,0.4513,0.345887751838823
"22",2001,"LAN","Los Angeles Dodgers",5493,1399,264,27,206,758,89,0.2547,0.323,0.7481,0.4251,0.324742310209424
"23",2001,"MIL","Milwaukee Brewers",5488,1378,273,30,209,740,66,0.2511,0.3186,0.7446,0.426,0.322966299523262
"24",2001,"MON","Montreal Expos",5379,1361,320,28,131,670,101,0.253,0.3185,0.7145,0.396,0.312582354914458
"25",2001,"NYN","New York Mets",5459,1361,273,18,147,642,66,0.2493,0.3229,0.7096,0.3867,0.312671035386632
"26",2001,"PHI","Philadelphia Phillies",5497,1431,295,29,164,746,153,0.2603,0.3292,0.7432,0.414,0.323889954486346
"27",2001,"PIT","Pittsburgh Pirates",5398,1333,256,25,161,657,93,0.2469,0.3129,0.706,0.3931,0.309079101726161
"28",2001,"SDN","San Diego Padres",5482,1379,273,26,161,789,129,0.2516,0.3357,0.7347,0.3989,0.323455272843655
"29",2001,"SFN","San Francisco Giants",5612,1493,304,40,235,799,57,0.266,0.3419,0.802,0.4601,0.345867528780949
"30",2001,"SLN","St. Louis Cardinals",5450,1469,274,32,199,814,91,0.2695,0.3385,0.7796,0.4411,0.338005743354119
"31",2002,"ANA","Anaheim Angels",5678,1603,333,32,152,851,117,0.2823,0.3407,0.7733,0.4325,0.338337209302326
"32",2002,"BAL","Baltimore Orioles",5491,1353,311,27,165,667,110,0.2464,0.3086,0.7116,0.403,0.312075957727873
"33",2002,"BOS","Boston Red Sox",5640,1560,348,33,177,859,80,0.2766,0.345,0.7892,0.4441,0.345015372424723
"34",2002,"CHA","Chicago White Sox",5502,1475,289,29,217,856,75,0.2681,0.3376,0.787,0.4495,0.342968826108134
"35",2002,"CLE","Cleveland Indians",5423,1349,255,26,192,739,52,0.2488,0.3213,0.7329,0.4116,0.322328217821782
"36",2002,"DET","Detroit Tigers",5406,1340,265,37,124,575,65,0.2479,0.3,0.6794,0.3794,0.298742444821732
"37",2002,"KCA","Kansas City Royals",5535,1415,285,42,140,737,140,0.2556,0.3231,0.7213,0.3982,0.318044628367413
"38",2002,"MIN","Minnesota Twins",5582,1518,348,36,167,768,79,0.2719,0.332,0.769,0.4369,0.335477280103862
"39",2002,"NYA","New York Yankees",5601,1540,314,12,223,897,100,0.275,0.3544,0.8092,0.4547,0.354294774944917
"40",2002,"OAK","Oakland Athletics",5558,1450,279,28,205,800,46,0.2609,0.3392,0.771,0.4318,0.338727156753309
"41",2002,"SEA","Seattle Mariners",5569,1531,285,31,152,814,137,0.2749,0.3498,0.7689,0.4191,0.338934662236988
"42",2002,"TBA","Tampa Bay Devil Rays",5604,1418,297,35,133,673,102,0.253,0.3139,0.7037,0.3897,0.310469288267793
"43",2002,"TEX","Texas Rangers",5618,1510,304,27,230,843,62,0.2688,0.3383,0.7936,0.4553,0.345505728835137
"44",2002,"TOR","Toronto Blue Jays",5581,1457,305,38,187,813,71,0.2611,0.3271,0.7569,0.4299,0.330620473201352
"45",2002,"ARI","Arizona Diamondbacks",5508,1471,283,41,165,819,92,0.2671,0.346,0.7692,0.4232,0.338800447713463
"46",2002,"ATL","Atlanta Braves",5495,1428,280,25,164,708,76,0.2599,0.3314,0.7408,0.4095,0.326566601689409
"47",2002,"CHN","Chicago Cubs",5496,1351,259,29,200,706,63,0.2458,0.3212,0.7339,0.4127,0.322696138870863
