Order Date,Sales
1/1/10,530288
2/1/10,318809
3/1/10,444518
4/1/10,389046
5/1/10,350128
6/1/10,362247
7/1/10,415463
8/1/10,554269
9/1/10,588723
10/1/10,665415
11/1/10,742501
12/1/10,783815
1/1/11,387688
2/1/11,308309
3/1/11,262172
4/1/11,292121
5/1/11,475249
6/1/11,528406
7/1/11,320347
8/1/11,420643
9/1/11,863036
10/1/11,730145
11/1/11,1113722
12/1/11,772543
1/1/12,350210
2/1/12,422158
3/1/12,414524
4/1/12,403045
5/1/12,515294
6/1/12,408699
7/1/12,484772
8/1/12,676393
9/1/12,674496
10/1/12,753318
11/1/12,1566627
12/1/12,826266
1/1/13,639335
2/1/13,479559
3/1/13,527792
4/1/13,492837
5/1/13,722373
6/1/13,682764
7/1/13,642654
8/1/13,1024303
9/1/13,1117817
10/1/13,1198337
11/1/13,1618018
12/1/13,1173264
