Name,Team,Fastball,Two-seam FB,Cutter,Splitter,Sinker,Slider,Cureveball,Knuckle Curve,Changeup,URL
Aroldis Chapman,Reds,99.6, , , , ,86.9, , ,88,https://www.baseballprospectus.com/card/card.php?id=53014
Carter Capps,Marlins,98, , , , ,83.8, ,83.4, ,https://www.baseballprospectus.com/card/card.php?id=70434
Arquimedes Caminero,Pirates,97.9, , ,89.4, ,91, , , ,https://www.baseballprospectus.com/card/card.php?id=51195
Craig Kimbrel,Padres,97.3,97.7, , , , , ,86.6, ,https://www.baseballprospectus.com/card/card.php?id=58350
Trevor Rosenthal,Cardinals,97, , , , ,88.2,81, ,87.2,https://www.baseballprospectus.com/card/card.php?id=60664
Kelvin Herrera,Royals,96.8,97.6, , , , ,80.8, ,88.2,https://www.baseballprospectus.com/card/card.php?id=56449
Dellin Betances,Yankees,96.8, ,96.2, , , , ,83.4, ,https://www.baseballprospectus.com/card/card.php?id=49775
Blake Treinen,Nationals,96.3, , , ,96.3,86.4, , ,86.3,https://www.baseballprospectus.com/card/card.php?id=68804
Ken Giles,Phillies,96.2,94.8, , , ,85.9, , , ,https://www.baseballprospectus.com/card/card.php?id=70354
Nathan Eovaldi,Yankees,96.2,93.1, ,87.4, ,84.3,75.3, ,84.3,https://www.baseballprospectus.com/card/card.php?id=57820
Jeurys Familia,Mets,96.2, , , ,97.1,89.2, , , ,https://www.baseballprospectus.com/card/card.php?id=58905
Tommy Hunter,Cubs,96.2,95.9,91.7, , , ,84.1, ,88.3,https://www.baseballprospectus.com/card/card.php?id=57403
Jumbo Diaz,Reds,96.2,96.9,92.7, , ,85.7, , ,89.5,https://www.baseballprospectus.com/card/card.php?id=34744
Noah Syndergaard,Mets,96.1,90.8, , ,96.9,83,82.1, ,87.7,https://www.baseballprospectus.com/card/card.php?id=67132
Jeremy Jeffress,Brewers,95.8,95.3, , , , ,79.9, ,89.3,https://www.baseballprospectus.com/card/card.php?id=50094
Daniel Hudson,Diamondbacks,95.8,95.8, , , ,87, , ,84.7,https://www.baseballprospectus.com/card/card.php?id=57996
Hector Rondon,Cubs,95.7,95.8,88.3, , ,85.7, , ,91.3,https://www.baseballprospectus.com/card/card.php?id=52251
Hansel Robles,Mets,95.7,93.4, , , ,87.7, , ,86.5,https://www.baseballprospectus.com/card/card.php?id=66336
Bo Schultz,Blue Jays,95.6, ,91.7, , ,88.3, , ,86.7,https://www.baseballprospectus.com/card/card.php?id=58646
Joe Kelly,Red Sox,95.6,95.4, , , ,85.6,79.4, ,84.6,https://www.baseballprospectus.com/card/card.php?id=59351
Garrett Richards,Angels,95.6,95.4,94.9, , ,86.8,78.7, , ,https://www.baseballprospectus.com/card/card.php?id=60655
Wade Davis,Royals,95.6,95,92.6, , , , ,84.2, ,https://www.baseballprospectus.com/card/card.php?id=47360
Kevin Gausman,Orioles,95.5,96.3, , , ,80.2, , , ,https://www.baseballprospectus.com/card/card.php?id=68557
Jose Fernandez,Marlins,95.5,93.8, , , , ,83.2, ,88.5,https://www.baseballprospectus.com/card/card.php?id=70444
Gerrit Cole,Pirates,95.5,94.4, , , ,86.6,81.4, ,87.4,https://www.baseballprospectus.com/card/card.php?id=65957
John Axford,Rockies,95.4, , , , ,87.4,78.2, , ,https://www.baseballprospectus.com/card/card.php?id=55512
Roberto Osuna,Blue Jays,95.4,95.1,89.8, , ,87.4, , ,82.1,https://www.baseballprospectus.com/card/card.php?id=68997
