"Name","Team","URL","PitchType","Speed"
"Aroldis Chapman","Reds","https://www.baseballprospectus.com/card/card.php?id=53014","Fastball",99.6
"Carter Capps","Marlins","https://www.baseballprospectus.com/card/card.php?id=70434","Fastball",98
"Arquimedes Caminero","Pirates","https://www.baseballprospectus.com/card/card.php?id=51195","Fastball",97.9
"Craig Kimbrel","Padres","https://www.baseballprospectus.com/card/card.php?id=58350","Fastball",97.3
"Trevor Rosenthal","Cardinals","https://www.baseballprospectus.com/card/card.php?id=60664","Fastball",97
"Kelvin Herrera","Royals","https://www.baseballprospectus.com/card/card.php?id=56449","Fastball",96.8
"Dellin Betances","Yankees","https://www.baseballprospectus.com/card/card.php?id=49775","Fastball",96.8
"Blake Treinen","Nationals","https://www.baseballprospectus.com/card/card.php?id=68804","Fastball",96.3
"Ken Giles","Phillies","https://www.baseballprospectus.com/card/card.php?id=70354","Fastball",96.2
"Nathan Eovaldi","Yankees","https://www.baseballprospectus.com/card/card.php?id=57820","Fastball",96.2
"Jeurys Familia","Mets","https://www.baseballprospectus.com/card/card.php?id=58905","Fastball",96.2
"Tommy Hunter","Cubs","https://www.baseballprospectus.com/card/card.php?id=57403","Fastball",96.2
"Jumbo Diaz","Reds","https://www.baseballprospectus.com/card/card.php?id=34744","Fastball",96.2
"Noah Syndergaard","Mets","https://www.baseballprospectus.com/card/card.php?id=67132","Fastball",96.1
"Jeremy Jeffress","Brewers","https://www.baseballprospectus.com/card/card.php?id=50094","Fastball",95.8
"Daniel Hudson","Diamondbacks","https://www.baseballprospectus.com/card/card.php?id=57996","Fastball",95.8
"Hector Rondon","Cubs","https://www.baseballprospectus.com/card/card.php?id=52251","Fastball",95.7
"Hansel Robles","Mets","https://www.baseballprospectus.com/card/card.php?id=66336","Fastball",95.7
"Bo Schultz","Blue Jays","https://www.baseballprospectus.com/card/card.php?id=58646","Fastball",95.6
"Joe Kelly","Red Sox","https://www.baseballprospectus.com/card/card.php?id=59351","Fastball",95.6
"Garrett Richards","Angels","https://www.baseballprospectus.com/card/card.php?id=60655","Fastball",95.6
"Wade Davis","Royals","https://www.baseballprospectus.com/card/card.php?id=47360","Fastball",95.6
"Kevin Gausman","Orioles","https://www.baseballprospectus.com/card/card.php?id=68557","Fastball",95.5
"Jose Fernandez","Marlins","https://www.baseballprospectus.com/card/card.php?id=70444","Fastball",95.5
"Gerrit Cole","Pirates","https://www.baseballprospectus.com/card/card.php?id=65957","Fastball",95.5
"John Axford","Rockies","https://www.baseballprospectus.com/card/card.php?id=55512","Fastball",95.4
"Roberto Osuna","Blue Jays","https://www.baseballprospectus.com/card/card.php?id=68997","Fastball",95.4
"Luis Garcia","Phillies","https://www.baseballprospectus.com/card/card.php?id=49727","Fastball",95.3
"Fernando Rodney","Mariners","https://www.baseballprospectus.com/card/card.php?id=1449","Fastball",95.3
"Jason Motte","Cubs","https://www.baseballprospectus.com/card/card.php?id=48314","Fastball",95.2
"Matt Harvey","Mets","https://www.baseballprospectus.com/card/card.php?id=68391","Fastball",95.2
"J.R. Graham","Twins","https://www.baseballprospectus.com/card/card.php?id=70305","Fastball",95.1
"Stephen Strasburg","Nationals","https://www.baseballprospectus.com/card/card.php?id=61056","Fastball",95.1
"Justin Wilson","Yankees","https://www.baseballprospectus.com/card/card.php?id=59179","Fastball",95
